"(1, '03 Greedo', '03 Purple Hearts', 'en')"
"(205, 'RGPolska Tłumaczenia', '21 Savage & Metro Boomin - No Heart [Polskie Tłumaczenie]', 'pl')"
"(206, '21 Savage', '21 Way (Freestyle)', 'en')"
"(207, 'DJ Holiday', '2 Seater', 'en')"
"(208, 'Don Ace', '4 5 (Remix)', 'en')"
"(209, 'Young mikemike20', '4hunna mixtape', 'en')"
"(210, '21 Savage', '4L', 'en')"
"(211, '21 Savage', '7 Min Freestyle', 'en')"
"(212, '21 Savage', 'Air It Out', 'en')"
"(213, 'Yamine & Young Trap', 'All I Know', 'en')"
"(214, '21 Savage', '\u200ball my friends', 'en')"
"(215, '21 Savage', 'All The Smoke', 'en')"
"(216, '21 Savage', '\u200ba lot', 'en')"
"(217, '21 Savage', '\u200ba lot (Physical Version)', 'en')"
"(218, 'DJ Forgotten', 'A new dimension', 'en')"
"(219, '21 Savage', 'Another Body*', 'en')"
"(220, 'No Plug', 'A Savage', 'en')"
"(221, '21 Savage', '\u200basmr', 'en')"
"(222, '21 Savage', 'Ass Thang', 'en')"
"(223, '21 Savage', '\u200ba&t', 'en')"
"(224, '21 Savage', 'Baby Choppa*', 'en')"
"(225, '21 Savage', 'Baby Girl', 'en')"
"(226, '21 Savage', 'Backpack*', 'en')"
"(227, '21 Savage', 'Back Started', 'en')"
"(228, '21 Savage', 'Bad Business', 'en')"
"(229, '21 Savage & Metro Boomin', 'Bad Guy', 'en')"
"(230, '24 Flakko', 'Bad Guy', 'en')"
"(231, 'Notoriou5 Bino', 'Bad Guy', 'en')"
"(232, 'Lil Keed', 'Balenciaga', 'en')"
"(233, '21 Savage', '\u200bball w/o you', 'en')"
"(234, 'Lil Wayne', 'Bank Account', 'en')"
"(235, 'Challenge', 'Bank Account', 'en')"
"(236, 'Kiubbah Malon', 'Bank Account', 'es')"
"(237, '21 Savage', 'Bank Account', 'en')"
"(238, 'Joyner Lucas', 'Bank Account (Remix)', 'en')"
"(239, 'Breydawg', 'Bank Account (Remix)', 'en')"
"(240, 'King Los', 'Bank Account (Remix)', 'en')"
"(241, 'Future', 'Bankroll', 'en')"
"(242, 'Cardi B', 'Bartier Cardi', 'en')"
"(243, 'Migos', 'BBO (Bad Bitches Only)', 'en')"
"(244, 'TYuS', 'Between Us (Remix)', 'en')"
"(245, '2Mex', 'Alive-a-Cation', 'en')"
"(246, '2Mex', ""Baby I Ain't Joking"", 'en')"
"(247, 'Busdriver & Radioinactive with Daedelus', 'Barely Music', 'en')"
"(248, 'Dilated Peoples', 'Big Business', 'en')"
"(249, 'Omid', 'BustMustJustUs', 'en')"
"(250, 'Ivan Ives', 'Carpe Diem', 'en')"
"(251, 'Killah Priest', 'Circles', 'en')"
"(252, 'Thavius Beck', 'Dedicated To Difficulty', 'en')"
"(253, '2Mex', 'Doctors, Drums and Danger', 'en')"
"(254, '2Mex', 'Falcon Gentle', 'en')"
"(255, '2Mex', 'Friday Rich', 'en')"
"(256, 'Linoskiii', 'Gold', 'en')"
"(257, '2Mex', 'It Will', 'en')"
"(258, 'Factor Chandelier', 'Mental Illness', 'en')"
"(259, '40 Glocc', 'Borrow You', 'en')"
"(260, 'Havoc', 'By My Side', 'en')"
"(261, '40 Glocc', 'Came to party', 'en')"
"(262, 'Kool Savas', 'Charisma', 'de')"
"(263, '40 Glocc', 'Damn (Remix)', 'en')"
"(264, '40 Glocc', 'Finer Thangz', 'en')"
"(265, 'The Alchemist', 'Flashlight', 'en')"
"(266, '40 Glocc', 'Leave Me Alone (Little Bitty Box)', 'en')"
"(267, 'Young Brown', 'Listo (Ready)', 'en')"
"(268, 'Xzibit', 'Phenom', 'en')"
"(269, 'Deadly Venoms', 'Real Niggaz', 'en')"
"(270, '40 Glocc', 'We Just Came to Party', 'en')"
"(271, '40 Glocc', 'Welcome to California (Remix)', 'en')"
"(272, '40 Glocc', 'Where Them Hammers At', 'en')"
"(273, '40 Glocc', 'You Know What It Is', 'en')"
"(274, '50 Cent', '187 Yayo', 'en')"
"(275, '50 Cent', '21 Questions', 'en')"
"(276, '50 Cent', '21 Questions/21 Answers', 'en')"
"(277, '50 Cent', '50/Banks', 'en')"
"(278, '50 Cent', '50 Bars', 'en')"
"(279, '50 Cent', ""50 Cent's Tattoos"", 'en')"
"(280, '50 Cent', '50 For President', 'en')"
"(281, 'Omari Hardwick', '50+O=500', 'en')"
"(282, 'DJ Kay Slay', '50 Shot Ya', 'en')"
"(283, '50 Cent', ""50's My Favourite"", 'en')"
"(284, '50 Cent', '5 Heartbeats', 'en')"
"(285, 'Jeremih', '5 Senses', 'en')"
"(286, '50 Cent', '6 Out Of 6 (Get Gully)', 'en')"
"(287, '50 Cent', '8 Mile Road (G-Unit Remix)', 'en')"
"(288, 'G-Unit', '8 More Miles', 'en')"
"(289, '50 Cent', '9 Shots', 'en')"
"(290, '50 Cent', 'A Baltimore Love Thing', 'en')"
"(291, '50 Cent', 'After My Chedda', 'en')"
"(292, 'Lloyd Banks', 'Air Your Ass Out', 'en')"
"(293, '50 Cent', 'A Lil Bit of Everything U.T.P.', 'en')"
"(294, '50 Cent', 'All His Love', 'en')"
"(295, 'Tony Yayo', 'All I Wanna Do', 'en')"
"(296, '50 Cent', 'All of Me', 'en')"
"(297, 'Bobby V', 'Altered Ego', 'en')"
"(298, '50 Cent', 'Amusement Park', 'en')"
"(299, 'Mobb Deep', 'Angel', 'en')"
"(300, 'DJ Kay Slay', 'Angels Around Me', 'en')"
"(301, '50 Cent', 'Animal Ambition', 'en')"
"(302, '50 Cent', 'Animal Ambition [Album Art + Tracklist]', 'en')"
"(303, 'Gio Washington', 'Annie', 'en')"
"(304, 'Wisin & Yandel', 'Así Soy', 'en')"
"(305, '50 Cent', 'As the World Turns', 'en')"
"(306, 'Katerine Avgoustakis', 'Ayo Technology', 'en')"
"(307, '50 Cent', 'Ayo Technology', 'en')"
"(308, 'LL Cool J', 'Baby', 'en')"
"(309, '50 Cent', 'Baby By Me', 'en')"
"(310, '50 Cent', 'Baby By Me (Original)', 'en')"
"(311, '50 Cent', 'Baby Get On Your Knees', 'en')"
"(312, 'G-Unit', 'Baby U Got', 'en')"
"(313, '50 Cent', 'Back Down', 'en')"
"(314, '50 Cent', 'Back Seat', 'en')"
"(315, 'Mobb Deep', 'Backstage Pass', 'en')"
"(316, 'Lloyd Banks', 'Bad Luck', 'en')"
"(317, '50 Cent', 'Bad News', 'en')"
"(318, 'G-Unit', ""Ballin'"", 'en')"
"(319, 'Troy Ave', 'Bang Bang', 'en')"
"(320, 'G-Unit', 'Bang Bang', 'en')"
"(321, '50 Cent', 'Banks Victory', 'en')"
"(322, '50 Cent', 'Banks Workout', 'en')"
"(323, '50 Cent', 'Banks Workout Pt. 2', 'en')"
"(324, '47 Records', '4769', 'en')"
"(325, '6ix9ine', '69', 'en')"
"(326, '6ix9ine', '93', 'en')"
"(327, '6ix9ine', 'Alright', 'en')"
"(328, 'AK47 & 6ix9ine', 'APE SHIT', 'en')"
"(329, 'Vladimir Cauchemar', 'Aulos Reloaded', 'en')"
"(330, '6ix9ine', 'BEBE', 'es')"
"(331, '6ix9ine', 'BILLY', 'en')"
"(332, '6ix9ine', 'Blood Walk', 'en')"
"(333, 'Lacrim', 'Bloody', 'en')"
"(334, '\u200bArmoo', 'Bozoo', 'en')"
"(335, '6ix9ine', 'BRAIN FREESTYLE', 'en')"
"(336, '6ix9ine', 'BREAKIN IT DOWN', 'en')"
"(337, '6ix9ine', 'BUBA', 'en')"
"(338, '6ix9ine', 'CHOCOLATÉ', 'en')"
"(339, '6ix9ine', 'CRIMINAL*', 'es')"
"(340, '6ix9ine', 'DOOWEE', 'en')"
"(341, 'PashaPG', 'Dope', 'en')"
"(342, 'Emis Killa', 'Dope 2', 'it')"
"(343, '6ix9ine', 'DUMMY', 'en')"
"(344, '6ix9ine', 'Exodia', 'en')"
"(345, 'Alshawn Martin', 'Fashion', 'en')"
"(346, '6ix9ine', 'FEEFA', 'en')"
"(347, '6ix9ine', 'FEFE', 'en')"
"(348, '6ix9ine', 'FEFE (Original Version)', 'en')"
"(349, '6ix9ine', 'FUCK IS YOU', 'en')"
"(350, 'SmooveSmith', 'Fuck Niggas', 'en')"
"(351, 'Moe Dollaz', 'Fuck Them', 'en')"
"(352, 'Uncle Murda', 'Get the Strap', 'en')"
"(353, 'Gringo', 'GIGI (ZKITTLEZ)', 'en')"
"(354, 'WILLY BLANCØ', 'GLØ pt. 2', 'en')"
"(355, '6ix9ine', 'GO CRAZY', 'en')"
"(356, 'PACkmaN', 'Got It, Got It', 'en')"
"(357, 'PACkmaN', 'Got It, Got It (Remix)*', 'en')"
"(358, '6ix9ine', 'GOTTI', 'en')"
"(359, '6ix9ine', 'GOTTI (Original Version)', 'en')"
"(360, '6ix9ine', 'GUMMO', 'en')"
"(361, '6ix9ine', 'GUMMO (Original Version)', 'en')"
"(362, '6ix9ine', 'GUMMO (Remix)', 'en')"
"(363, 'ZillaKami', 'Hellsing Station', 'en')"
"(364, 'Anuel AA', 'Iluminati*', 'it')"
"(365, '6ix9ine', 'Inferno', 'en')"
"(366, 'ZillaKami', '$inner69*', 'en')"
"(367, 'Farid Bang', 'INTERNATIONAL GANGSTAS', 'en')"
"(368, 'Dalyb', 'Jaguáre', 'sk')"
"(369, '6ix9ine', 'KANGA', 'en')"
"(370, '6ix9ine', 'KANGA (Azealia Banks Demo)', 'en')"
"(371, '6ix9ine', 'KEKE', 'en')"
"(372, 'The 6th Letter', '1992', 'en')"
"(373, 'The 6th Letter', '420 AM', 'en')"
"(374, 'Raz Fresco', 'All Eye See', 'en')"
"(375, 'The 6th Letter', 'Chain Smokin', 'en')"
"(376, 'BriskInTheHouse', 'See Me', 'en')"
"(377, 'Swaggy Liam', '10 Feet Up', 'en')"
"(378, 'BJ the Chicago Kid', '15 Minutes of Fame', 'en')"
"(379, 'B.Keyz', '2015 and Beyond (Encore)', 'en')"
"(380, 'Erykah Badu', '20 Feet Tall', 'en')"
"(381, 'Termanology', '22 Years', 'en')"
"(382, 'Jean Grae', ""2-32's"", 'en')"
"(383, 'Rapsody', '2AM', 'en')"
"(384, 'R.K. Rutto Fan Page', '2x Pills', 'en')"
"(385, 'Murs', '3:16', 'en')"
"(386, 'Murs', '3:16 Pt. 2', 'en')"
"(387, 'Canvas', '4-D', 'en')"
"(388, 'Wale', '5 Minutes', 'en')"
"(389, 'Trueszczurs', '9 maja', 'pl')"
"(390, 'CyphTwo', '9th Dimension', 'en')"
"(391, 'Black Thought', '9th vs. Thought', 'en')"
"(392, 'Fat Joe', '9th Wonder', 'en')"
"(393, 'Robert Glasper', ""Afro Blue (9th Wonder's Blue Light Basement Remix)"", 'en')"
"(394, 'Adriiian', 'Afterglow Reflections', 'en')"
"(395, 'Charles Hamilton', ""Aja's Dance With Nadia (Khan)"", 'en')"
"(396, '9th Wonder', ""A King's Life"", 'ro')"
"(397, 'Actual Proof', 'A Letter to Coretta', 'en')"
"(398, 'Little Brother', 'All for You', 'en')"
"(399, 'Joey Fatts', 'All Good', 'en')"
"(400, 'Sean Price', 'All I Know', 'en')"
"(401, 'Kev Brown', 'Allways (Remix)', 'en')"
"(402, 'Odd Future', 'Alright', 'en')"
"(403, 'Memphis Bleek', 'Alright', 'en')"
"(404, 'Little Brother', 'Altitudes', 'en')"
"(405, 'Little Brother', 'Altitudes (Flyin High)', 'en')"
"(406, 'Jean Grae', 'American Pimp', 'en')"
"(407, 'Murs', 'And I Love It', 'en')"
"(408, 'Murs', 'And This is For...', 'en')"
"(409, 'Chaundon', 'And You', 'en')"
"(410, 'Terrace Martin', 'Angel', 'cy')"
"(411, 'Lil bozo', 'A peal', 'en')"
"(412, 'Raekwon', 'A Pinebox Story', 'en')"
"(413, 'Jay Anfernee', 'Apoca-Lips/Luke', 'en')"
"(414, 'Murs', 'Are You Ready?', 'en')"
"(415, 'Rapsody', 'A Rollercoaster Jam Called Love', 'en')"
"(416, 'Buckshot', 'At Night (3am Shit)', 'en')"
"(417, 'Nine Six Kid', 'August 10th', 'en')"
"(418, 'Little Brother', 'Away from Me', 'en')"
"(419, 'Frank', 'Baby Cry', 'en')"
"(420, '9th Wonder', 'Baby Cry', 'ro')"
"(421, 'Murs', 'Baby Girl (Holding Hands)', 'en')"
"(422, 'KRS-One', 'A Call to Order by A. Bambaataa', 'en')"
"(423, 'Afrika Bambaataa', 'Afrika shox', 'en')"
"(424, 'Leftfield', 'Afrika Shox', 'en')"
"(425, 'Elio e le Storie Tese', 'Christmas With the Yours', 'en')"
"(426, 'Jazzy Jay', 'Def Jam', 'en')"
"(427, 'Snoop Dogg', ""Don't Stop (COOLAID)"", 'en')"
"(428, 'Phase 2', 'Ecstasy Garage Disco, Friday, Dec. 12, 1980 [Flyer]', 'en')"
"(429, 'Afrika Bambaataa', 'Frantic Situation - 1795508', 'en')"
"(430, 'Lovage', 'Herbs, Good Hygiene & Socks', 'en')"
"(431, 'The Next Diffusion', 'Intro', 'it')"
"(432, 'Afrika Bambaataa & The Jazzy 5', 'Jazzy Sensation (Bronx Version)', 'en')"
"(433, 'Afrika Bambaataa', 'Just get up and dance', 'en')"
"(434, 'Afrika Bambaataa', 'Kick Out The Jams', 'en')"
"(435, 'Afrika Bambaataa & Soulsonic Force', 'Looking for the Perfect Beat', 'en')"
"(436, 'Afrika Bambaataa', 'Metal', 'en')"
"(437, 'Pharrell Williams', 'NBA 2K15 Soundtrack', 'en')"
"(438, 'Free South Africa Hip Hop Against Apartheid', 'Ndodemnyama', 'en')"
"(439, 'Free South Africa Hip Hop Against Apartheid', 'Ndodemnyama (African National Congress Mix)', 'en')"
"(440, 'Afrika Bambaataa', 'Planet Rock [Instrumental] (45 Version)', 'ro')"
"(441, 'KRS-One', 'Rap History', 'en')"
"(442, 'Afrika Bambaataa', 'Reckless', 'en')"
"(443, 'Afrika Bambaataa', 'Reckless - 7"" edit', 'en')"
"(444, 'Afrika Bambaataa & Soulsonic Force', 'Renegades of Funk', 'en')"
"(445, 'Rage Against the Machine', 'Renegades of Funk', 'en')"
"(446, 'Artists United Against Apartheid', 'Sun City (Version II)', 'en')"
"(447, 'Fernanda Abreu', 'Tambor', 'pt')"
"(448, 'OutKast', '?', 'en')"
"(449, 'OutKast', '13th Floor / Growing Old', 'en')"
"(450, 'OutKast', '2014 Tour Dates', 'en')"
"(451, 'Dungeon Family', ""6 Minutes (Dungeon Family It's On)"", 'en')"
"(452, 'YoungBloodZ', '85', 'en')"
"(453, 'YoungBloodZ', '85 / Billy Dee Interlude', 'en')"
"(454, 'Killer Mike', 'A.D.I.D.A.S', 'en')"
"(455, 'Lenny Kravitz', 'Again (Stankonia Remix)', 'en')"
"(456, 'Mystikal', ""Ain't Gonna See Tomorrow"", 'en')"
"(457, 'Bubba Sparxxx', ""Ain't Life Grand"", 'en')"
"(458, 'OutKast', ""Ain't No Thang"", 'en')"
"(459, 'DJ Drama', ""Ain't No Way Around It (Remix)"", 'en')"
"(460, 'Killer Mike', 'Akshon (Yeah!)', 'en')"
"(461, 'Owl City', 'Alligator Sky (Big Boi version)', 'en')"
"(462, 'Big Boi', 'All Night', 'en')"
"(463, 'Beyoncé', 'ALL NIGHT', 'en')"
"(464, 'Missy Elliott', 'All N My Grill', 'en')"
"(465, 'Rich Boy', 'And I Love You', 'en')"
"(466, 'Maroon 5', 'Animals (Big Boi Remix)', 'en')"
"(467, 'Big Boi', 'Apple of My Eye', 'en')"
"(468, 'OutKast', 'Aquemini', 'en')"
"(469, 'Big Boi', 'Ascending', 'en')"
"(470, 'OutKast', 'ATLiens', 'en')"
"(471, 'OutKast', 'Babylon', 'en')"
"(472, 'Big Boi', 'Back Up Plan', 'en')"
"(473, 'OutKast', 'Bamboo (Interlude)', 'en')"
"(474, 'Run The Jewels', 'Banana Clipper', 'en')"
"(475, 'OutKast', 'Benz or Beamer', 'en')"
"(476, 'Big Boi', 'Be Still', 'en')"
"(477, 'The Knocks', 'Big Bills', 'en')"
"(478, 'Kendrick Lamar', ""Big Boy's Neigborhood Freestyle"", 'en')"
"(479, 'Goodie Mob', 'Black Ice', 'en')"
"(480, 'Goodie Mob', 'Black Ice (Goodie Mob Version)', 'en')"
